input1,input2,input3,input4,input5,input6,output,usable
485.0,0.01,0.5,0.01,1.0,1.0,0.2555237759945479,True
486.0,1.0,1.0,9.99,1.0,1.0,0.04917311282877268,True
487.0,9.99,0.1,0.0,9.99,1.0,0.9019045594146742,True
488.0,1.0,1.0,0.01,1.0,0.5,0.1706128176668874,True
489.0,0.1,0.5,0.1,9.99,1.0,0.5668937321698218,True
490.0,1.0,1.0,9.99,9.99,0.5,0.21864544295771415,True
491.0,1.0,0.1,0.01,0.01,1.0,-3.145769804329584,True
492.0,0.1,0.1,0.0,0.1,1.0,-2.8752411497487462,True
493.0,1.0,0.5,0.1,1.0,0.1,0.04322930342177842,True
494.0,1.0,0.5,0.1,0.1,1.0,0.01919629437199829,True
495.0,0.1,1.0,9.99,0.1,0.5,-2.6073594981836132,True
496.0,1.0,1.0,9.99,1.0,0.1,-0.028945183660291973,True
497.0,9.99,0.1,0.0,9.99,0.1,0.05026141778688746,True
498.0,0.01,0.5,0.01,0.1,1.0,-2.961904168419677,True
499.0,1.0,0.5,0.1,1.0,1.0,0.1655807664687971,True
500.0,9.99,1.0,9.99,9.99,0.5,0.2521609761735149,True
501.0,0.1,0.1,0.0,0.1,0.1,-2.339962898477848,True
502.0,1.0,0.1,0.01,0.01,0.1,-0.33077224789711923,True
503.0,0.01,1.0,0.01,1.0,0.01,0.026767871529818382,True
504.0,9.99,0.5,0.0,0.0,0.0,-0.7255803781612027,True
505.0,1.0,1.0,0.1,1.0,0.01,0.8796133633604595,True
506.0,0.1,1.0,1.0,0.01,1.0,0.3091708966326123,False
507.0,9.99,0.5,9.99,0.1,1.0,-1.8237860812906808,True
508.0,0.01,0.1,0.01,9.99,1.0,0.7838580580498358,True
509.0,1.0,0.5,1.0,1.0,0.5,0.0940978758602879,True
510.0,0.1,1.0,0.0,0.1,0.5,-4.220026575947729,True
511.0,9.99,0.1,9.99,9.99,0.1,0.06224778421903798,True
512.0,0.1,0.1,0.1,0.1,0.1,-3.63197797183906,True
513.0,0.01,1.0,1.0,1.0,0.1,-0.08744499684263679,True
514.0,0.0,0.0,0.0,9.99,0.1,0.002004998937385762,True
515.0,1.0,0.5,1.0,0.1,0.5,-1.2951748371849379,True
516.0,0.01,0.01,0.01,0.01,1.0,-0.2666736284646677,False
517.0,0.1,0.1,0.1,1.0,1.0,0.2444153180538582,True
518.0,0.1,1.0,0.1,0.01,0.5,-1.2232573272013338,True
519.0,9.99,0.1,9.99,9.99,1.0,0.5889654150074355,True
520.0,0.1,0.1,0.1,0.1,1.0,-2.7452673354966732,True
521.0,0.0,0.1,1.0,1.0,0.1,-0.11862585703575473,True
522.0,9.99,1.0,1.0,9.99,0.1,0.05586107036021237,True
523.0,0.1,1.0,0.01,0.01,0.01,-1.8115057350976476,True
524.0,0.1,0.1,0.1,1.0,0.1,-0.05066484916621711,True
525.0,1.0,0.5,1.0,1.0,0.5,0.07544998822569948,True
526.0,9.99,1.0,1.0,1.0,0.5,0.050430426582966814,True
527.0,1.0,0.5,0.0,1.0,1.0,0.1946210636609468,True
528.0,9.99,1.0,1.0,9.99,1.0,0.431485671913552,True
529.0,0.1,0.1,0.1,0.1,0.1,-2.2363512528552354,True
530.0,9.99,0.1,9.99,9.99,0.1,0.06944581699779659,True
531.0,0.0,0.0,0.0,1.0,0.5,0.09099610713949169,True
532.0,0.01,0.5,0.01,0.01,1.0,-8.327334390356588,True
533.0,0.01,0.1,0.01,9.99,0.1,0.05722970861475306,True
534.0,0.0,0.0,0.0,9.99,1.0,0.1890613500230942,True
535.0,0.1,1.0,0.1,0.01,0.5,-3.623920080447252,True
536.0,0.01,1.0,1.0,1.0,1.0,0.28698387979207174,True
537.0,0.1,0.1,0.1,0.1,1.0,-4.391465878226871,True
538.0,9.99,0.1,9.99,9.99,1.0,0.5530273333737418,True
539.0,0.01,0.5,0.01,1.0,0.5,0.07548859733603905,True
540.0,0.01,1.0,0.0,0.01,1.0,-8.562939374296578,True
541.0,0.0,0.0,0.0,0.01,1.0,-8.207771040740425,True
542.0,0.01,1.0,0.1,0.1,0.1,-3.7449915940432303,True
543.0,0.1,1.0,9.99,9.99,0.5,0.1069402296038596,True
544.0,0.01,0.5,0.01,9.99,1.0,0.19227103252965455,True
545.0,1.0,0.5,0.1,0.1,0.5,-0.6846095570124846,True
546.0,0.01,0.5,9.99,9.99,0.5,0.301159904737527,True
547.0,9.99,0.5,9.99,9.99,1.0,0.17279035855341562,True
548.0,0.01,1.0,0.1,0.1,1.0,-2.8902020108175375,True
549.0,9.99,0.5,0.01,9.99,0.5,0.284974846301691,True
